"BMD","BMDL"
59.2331,36.5259
59.4208,36.5551
59.5229,36.5786
59.5689,36.5842
59.6763,36.6374
59.6887,36.6563
59.7263,36.6614
59.7326,36.7133
59.7622,36.744
59.7682,36.7663
59.7792,36.7721
59.7974,36.8131
59.8246,36.8468
59.8482,36.848
59.9394,36.8962
59.9642,37.048
60.001,37.0747
60.0262,37.1106
60.0284,37.1721
60.1521,37.1911
60.2355,37.2089
60.2586,37.3192
60.2887,37.4245
60.4516,37.439
60.4876,37.4522
60.5623,37.4583
60.6819,37.4676
60.9016,37.5152
61.0069,37.5425
61.0648,37.5748
61.076,37.5846
61.084,37.6363
61.5823,37.6492
61.8251,37.6948
61.8693,37.7142
61.9329,37.8049
62.3075,37.8079
62.3141,37.8645
62.3233,37.9849
62.3582,38.0958
62.3703,38.1173
62.4681,38.3109
62.475,38.3122
62.5055,38.3305
62.518,38.3333
62.5563,38.3445
62.6156,38.3505
62.7154,38.3972
62.8585,38.3974
62.9079,38.3977
62.9379,38.4042
63.0168,38.4268
63.0914,38.4314
63.0947,38.4377
63.3349,38.446
63.3553,38.4477
63.4938,38.4541
63.6529,38.4627
63.8074,38.4636
63.8182,38.4917
63.9245,38.5521
63.9565,38.6139
64.0078,38.6209
64.0254,38.6442
64.0458,38.6687
64.4532,38.7204
64.5336,38.8287
64.6429,38.8495
64.6664,38.8678
64.6868,38.9038
64.7436,38.9069
64.8784,38.9199
64.8797,38.9376
65.0112,38.9794
65.0215,38.9841
65.0746,39.0021
65.119,39.0733
65.3514,39.0816
65.4014,39.0932
65.5377,39.1257
65.6806,39.1737
65.751,39.1863
65.775,39.2326
65.8471,39.2976
65.9048,39.3048
65.9774,39.3867
66.1382,39.416
66.1533,39.4822
66.1899,39.5337
66.2074,39.5396
66.2376,39.573
66.3353,39.627
66.35,39.6294
66.4041,39.6548
66.4223,39.7192
66.4894,39.7614
66.8701,39.7647
66.9544,39.7707
67.1566,39.8035
67.3356,39.8073
67.4467,39.8564
67.6449,39.8928
67.6471,39.9079
67.8286,39.9865
67.9343,39.9938
68.0826,40.0348
68.087,40.0572
68.3329,40.109
68.3713,40.1392
68.5571,40.1955
